participant,feel,pick_flip,win_lose,role
1,7,1,1,1
2,7,1,1,1
3,7,1,1,1
4,6,1,1,1
5,7,1,1,1
6,5,1,1,1
7,7,1,1,1
8,7,1,1,1
9,7,1,1,1
10,7,1,1,1
11,7,1,1,1
12,7,1,1,1
13,7,1,1,1
14,7,1,1,1
15,6,1,1,1
16,6,1,1,1
17,6,1,1,1
18,7,1,1,1
19,7,1,1,1
20,7,1,1,1
21,7,1,1,1
22,7,1,1,1
23,7,1,1,1
24,5,1,1,1
25,7,1,1,1
26,6,1,1,1
27,7,1,1,1
1,1,1,2,1
2,1,1,2,1
3,1,1,2,1
4,2,1,2,1
5,1,1,2,1
6,3,1,2,1
7,1,1,2,1
8,1,1,2,1
9,1,1,2,1
10,1,1,2,1
11,1,1,2,1
12,1,1,2,1
13,1,1,2,1
14,1,1,2,1
15,2,1,2,1
16,2,1,2,1
17,2,1,2,1
18,1,1,2,1
19,1,1,2,1
20,3,1,2,1
21,1,1,2,1
22,1,1,2,1
23,1,1,2,1
24,2,1,2,1
25,1,1,2,1
26,2,1,2,1
27,1,1,2,1
1,7,2,1,1
2,7,2,1,1
3,7,2,1,1
4,5,2,1,1
5,6,2,1,1
6,5,2,1,1
7,7,2,1,1
8,7,2,1,1
9,7,2,1,1
10,5,2,1,1
11,7,2,1,1
12,4,2,1,1
13,7,2,1,1
14,7,2,1,1
15,5,2,1,1
16,6,2,1,1
17,6,2,1,1
18,7,2,1,1
19,7,2,1,1
20,5,2,1,1
21,4,2,1,1
22,7,2,1,1
23,7,2,1,1
24,6,2,1,1
25,6,2,1,1
26,7,2,1,1
27,7,2,1,1
1,1,2,2,1
2,4,2,2,1
3,3,2,2,1
4,3,2,2,1
5,3,2,2,1
6,4,2,2,1
7,3,2,2,1
8,3,2,2,1
9,4,2,2,1
10,3,2,2,1
11,1,2,2,1
12,4,2,2,1
13,4,2,2,1
14,1,2,2,1
15,3,2,2,1
16,2,2,2,1
17,3,2,2,1
18,4,2,2,1
19,3,2,2,1
20,4,2,2,1
21,4,2,2,1
22,7,2,2,1
23,4,2,2,1
24,3,2,2,1
25,4,2,2,1
26,3,2,2,1
27,4,2,2,1
28,4,1,2,2
29,3,1,2,2
30,1,1,2,2
31,2,1,2,2
32,3,1,2,2
33,4,1,2,2
34,2,1,2,2
35,2,1,2,2
36,4,1,2,2
37,3,1,2,2
38,1,1,2,2
39,3,1,2,2
40,7,1,1,2
41,4,1,1,2
42,7,1,1,2
43,7,1,1,2
44,6,1,1,2
45,6,1,1,2
46,4,1,1,2
47,5,1,1,2
48,7,1,1,2
49,6,1,1,2
50,5,1,1,2
51,5,1,1,2
52,1,2,2,2
53,4,2,2,2
54,2,2,2,2
55,2,2,2,2
56,1,2,2,2
57,3,2,2,2
58,4,2,2,2
59,2,2,2,2
60,4,2,2,2
61,6,2,2,2
62,1,2,2,2
63,2,2,2,2
64,2,2,2,2
65,4,2,2,2
66,2,2,2,2
67,7,2,1,2
68,7,2,1,2
69,7,2,1,2
70,6,2,1,2
71,7,2,1,2
72,6,2,1,2
73,5,2,1,2
74,4,2,1,2
75,7,2,1,2
76,6,2,1,2
77,5,2,1,2
78,5,2,1,2
79,6,2,1,2
80,6,2,1,2
81,4,2,1,2
