participant,feel,pick_flip,win_lose
1,7,2,1
2,5,2,1
3,5,2,1
4,2,2,1
5,6,2,1
6,7,2,1
7,7,2,1
8,6,2,1
9,7,2,1
10,5,2,1
11,7,2,1
12,4,2,1
13,7,2,1
14,4,2,1
15,4,2,1
16,5,2,1
17,5,2,1
18,6,2,1
19,6,2,1
20,6,2,1
21,6,2,1
22,7,2,1
23,7,2,1
24,7,2,1
25,7,2,1
26,7,2,1
27,7,2,1
28,7,2,1
29,7,2,1
30,7,2,1
31,7,2,1
32,4,2,1
33,5,2,1
34,6,2,1
35,4,2,1
36,7,2,1
37,5,2,1
38,7,2,1
39,4,2,1
40,5,2,1
41,7,2,1
42,6,2,1
43,7,2,1
44,4,2,1
45,6,2,1
46,7,2,1
47,7,2,1
48,5,2,1
49,4,2,1
50,7,2,1
51,5,2,1
52,7,2,1
53,7,2,1
54,7,2,1
55,7,2,1
56,7,2,1
57,7,2,1
58,7,2,1
59,7,2,1
60,7,2,1
61,7,2,1
62,7,2,1
63,6,2,1
64,7,2,1
65,7,2,1
66,7,2,1
67,5,2,1
68,6,2,1
69,6,2,1
70,7,2,1
71,7,2,1
72,7,2,1
73,7,2,1
74,7,2,1
75,6,2,1
76,6,2,1
77,6,2,1
78,6,2,1
79,7,2,1
80,7,2,1
81,7,2,1
82,7,2,1
83,7,2,1
84,7,2,1
85,7,2,1
86,7,2,1
87,7,2,1
88,7,2,1
89,7,2,1
90,7,2,1
91,5,2,1
92,7,2,1
93,7,2,1
94,7,2,1
95,7,2,1
96,4,2,1
97,7,2,1
98,5,2,1
99,4,2,1
100,6,2,1
101,6,2,1
102,7,2,1
103,5,2,1
104,7,2,1
105,4,2,1
106,4,2,1
107,4,2,1
108,5,2,1
109,6,2,1
110,6,2,1
111,6,2,1
112,7,2,1
113,7,2,1
114,7,2,1
115,7,2,1
116,7,2,1
117,7,2,1
118,7,2,1
119,7,2,1
120,7,2,1
1,3,2,2
2,4,2,2
3,4,2,2
4,5,2,2
5,3,2,2
6,4,2,2
7,4,2,2
8,2,2,2
9,6,2,2
10,4,2,2
11,1,2,2
12,4,2,2
13,7,2,2
14,4,2,2
15,1,2,2
16,3,2,2
17,4,2,2
18,2,2,2
19,4,2,2
20,4,2,2
21,2,2,2
22,4,2,2
23,7,2,2
24,1,2,2
25,2,2,2
26,2,2,2
27,4,2,2
28,1,2,2
29,7,2,2
30,1,2,2
31,1,2,2
32,4,2,2
33,3,2,2
34,4,2,2
35,1,2,2
36,7,2,2
37,4,2,2
38,4,2,2
39,4,2,2
40,3,2,2
41,4,2,2
42,4,2,2
43,1,2,2
44,4,2,2
45,3,2,2
46,1,2,2
47,7,2,2
48,4,2,2
49,4,2,2
50,1,2,2
51,3,2,2
52,1,2,2
53,1,2,2
54,4,2,2
55,6,2,2
56,5,2,2
57,4,2,2
58,1,2,2
59,3,2,2
60,7,2,2
61,4,2,2
62,3,2,2
63,2,2,2
64,5,2,2
65,1,2,2
66,3,2,2
67,3,2,2
68,6,2,2
69,4,2,2
70,4,2,2
71,4,2,2
72,4,2,2
73,5,2,2
74,4,2,2
75,4,2,2
76,3,2,2
77,3,2,2
78,4,2,2
79,1,2,2
80,3,2,2
81,5,2,2
82,4,2,2
83,1,2,2
84,5,2,2
85,3,2,2
86,1,2,2
87,3,2,2
88,5,2,2
89,4,2,2
90,3,2,2
91,3,2,2
92,4,2,2
93,3,2,2
94,6,2,2
95,4,2,2
96,4,2,2
97,1,2,2
98,5,2,2
99,4,2,2
100,4,2,2
101,3,2,2
102,4,2,2
103,3,2,2
104,6,2,2
105,4,2,2
106,4,2,2
107,4,2,2
108,3,2,2
109,4,2,2
110,3,2,2
111,6,2,2
112,1,2,2
113,1,2,2
114,7,2,2
115,4,2,2
116,1,2,2
117,7,2,2
118,4,2,2
119,3,2,2
120,2,2,2
1,7,1,1
2,5,1,1
3,6,1,1
4,2,1,1
5,7,1,1
6,7,1,1
7,7,1,1
8,6,1,1
9,7,1,1
10,6,1,1
11,7,1,1
12,7,1,1
13,4,1,1
14,5,1,1
15,7,1,1
16,6,1,1
17,4,1,1
18,6,1,1
19,6,1,1
20,7,1,1
21,6,1,1
22,7,1,1
23,4,1,1
24,7,1,1
25,6,1,1
26,7,1,1
27,7,1,1
28,7,1,1
29,7,1,1
30,7,1,1
31,7,1,1
32,4,1,1
33,6,1,1
34,6,1,1
35,4,1,1
36,7,1,1
37,5,1,1
38,7,1,1
39,4,1,1
40,6,1,1
41,3,1,1
42,7,1,1
43,7,1,1
44,7,1,1
45,5,1,1
46,7,1,1
47,7,1,1
48,5,1,1
49,4,1,1
50,7,1,1
51,5,1,1
52,7,1,1
53,7,1,1
54,7,1,1
55,7,1,1
56,7,1,1
57,7,1,1
58,6,1,1
59,6,1,1
60,7,1,1
61,6,1,1
62,7,1,1
63,7,1,1
64,7,1,1
65,6,1,1
66,7,1,1
67,6,1,1
68,6,1,1
69,6,1,1
70,7,1,1
71,7,1,1
72,7,1,1
73,7,1,1
74,7,1,1
75,5,1,1
76,6,1,1
77,7,1,1
78,6,1,1
79,7,1,1
80,7,1,1
81,7,1,1
82,7,1,1
83,7,1,1
84,7,1,1
85,7,1,1
86,4,1,1
87,7,1,1
88,7,1,1
89,7,1,1
90,7,1,1
91,6,1,1
92,7,1,1
93,7,1,1
94,6,1,1
95,7,1,1
96,4,1,1
97,7,1,1
98,5,1,1
99,7,1,1
100,5,1,1
101,6,1,1
102,5,1,1
103,6,1,1
104,7,1,1
105,4,1,1
106,4,1,1
107,4,1,1
108,5,1,1
109,7,1,1
110,7,1,1
111,5,1,1
112,7,1,1
113,7,1,1
114,7,1,1
115,7,1,1
116,7,1,1
117,7,1,1
118,7,1,1
119,7,1,1
120,7,1,1
1,1,1,2
2,4,1,2
3,3,1,2
4,4,1,2
5,1,1,2
6,4,1,2
7,2,1,2
8,2,1,2
9,1,1,2
10,2,1,2
11,1,1,2
12,1,1,2
13,4,1,2
14,3,1,2
15,1,1,2
16,2,1,2
17,3,1,2
18,3,1,2
19,2,1,2
20,2,1,2
21,1,1,2
22,1,1,2
23,4,1,2
24,1,1,2
25,1,1,2
26,1,1,2
27,4,1,2
28,1,1,2
29,6,1,2
30,1,1,2
31,1,1,2
32,4,1,2
33,2,1,2
34,4,1,2
35,1,1,2
36,1,1,2
37,3,1,2
38,1,1,2
39,4,1,2
40,2,1,2
41,1,1,2
42,2,1,2
43,1,1,2
44,1,1,2
45,2,1,2
46,1,1,2
47,4,1,2
48,4,1,2
49,4,1,2
50,1,1,2
51,2,1,2
52,1,1,2
53,1,1,2
54,1,1,2
55,2,1,2
56,1,1,2
57,3,1,2
58,2,1,2
59,6,1,2
60,7,1,2
61,1,1,2
62,1,1,2
63,1,1,2
64,5,1,2
65,2,1,2
66,1,1,2
67,2,1,2
68,2,1,2
69,4,1,2
70,4,1,2
71,3,1,2
72,1,1,2
73,2,1,2
74,1,1,2
75,1,1,2
76,2,1,2
77,1,1,2
78,3,1,2
79,1,1,2
80,1,1,2
81,1,1,2
82,2,1,2
83,1,1,2
84,1,1,2
85,1,1,2
86,4,1,2
87,1,1,2
88,1,1,2
89,4,1,2
90,1,1,2
91,2,1,2
92,1,1,2
93,3,1,2
94,2,1,2
95,3,1,2
96,4,1,2
97,1,1,2
98,2,1,2
99,3,1,2
100,2,1,2
101,2,1,2
102,3,1,2
103,3,1,2
104,3,1,2
105,4,1,2
106,4,1,2
107,4,1,2
108,3,1,2
109,3,1,2
110,1,1,2
111,1,1,2
112,1,1,2
113,1,1,2
114,7,1,2
115,3,1,2
116,1,1,2
117,7,1,2
118,3,1,2
119,2,1,2
120,4,1,2
